a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Med,Feb 10,Anjimile,Waits For Me,Single,Alternative,,,4AD,Beggars,spotify:album:0ooeIa0zjSBZLWpk6YY6VJ,GBAFL2500169,1860276153,191400092075,"El cantautor indie Anjimile anticipa su LP You’re Free to Go (sale el 13 de marzo) con “Waits For Me”, una canción que afirma y reconforta a su niño interior a través de guitarras acústicas cálidas, sintetizadores brillantes y una percusión luminosa. El tema adelanta el enfoque íntimo del álbum en la autoexpresión y la sanación, inspirado en el propio proceso personal de Jimi. Producido por Brad Cook (Waxahatchee, Mavis Staples), el disco cuenta con colaboraciones de miembros de Hippo Campus, Bon Iver e Iron & Wine, y ya recibe apoyo temprano de Pitchfork, Stereogum, Clash, The Needle Drop y Boston Globe.","Indie singer-songwriter Anjimile anticipates LP You’re Free to Go (out Mar 13) w/ “Waits For Me” — affirms & soothes his inner child via warm acoustic guitar, glimmering synths & bright percussion. Spotlights LP’s intimate focus on self-expression & healing, inspired by Jimi’s own journey. Produced by Brad Cook (Waxahatchee/Mavis Staples) ft Hippo Campus, Bon Iver, Iron & Wine members. Early LP support from Pitchfork, Stereogum, Clash, Needle Drop, Boston Globe. ","https://www.promojukebox.com/PEMDL21402496-3T8WAE62WCTN4P3E-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,Med,Feb 10,The Sophs,SWEETIE PIE,Single,Alternative,,,Rough Trade,Beggars,spotify:track:67v9hjtpys63hUEbQpeePe,GBCVZ2500140,1852541992,191402060874,"“Sweetie Pie” es el nuevo sencillo de The Sophs, una canción con guitarras de bluegrass que comienza como una aparente canción de amor, pero que en realidad presenta a un narrador rechazado, borracho y lejos de ser ideal. La banda lanzará su álbum debut en marzo y estará presentándose en SXSW, Primavera Sound, Roskilde y Pohoda, además de giras por Estados Unidos, Reino Unido y Europa entre marzo y mayo.","“Sweetie Pie” is the new single from The Sophs, a track driven by bluegrass-leaning guitars that starts off like a love song but ultimately reveals a rejected, drunk, and far-from-ideal narrator. The band will release their debut album in March and will be appearing at SXSW, Primavera Sound, Roskilde and Pohoda, alongside tours across the US, the UK and Europe throughout March, April and May.","https://www.promojukebox.com/PEMDL75356294-U47V8NHQQZNKZYXJ-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,High,Feb 11,Bleachers,You and Forever,Single,indie,,,Dirty Hit,Virgin,spotify:track:7faK0eOWGbfxWeuw1inyBN,GBK3W2503558,1872842319,198704947032,,,https://s.disco.ac/vrgsbkzydasl,,,,
men,Med,Feb 11,Kim Gordon,Dirty Tech,Single,Alternative,Mar 13,PLAY ME,Matador,Beggars,spotify:track:4HeRz0c4WDErd3Ey953EVW,USMTD2500275,1859967737,191401221375,"El tercer álbum de Kim Gordon, PLAY ME, continuación de The Collective de 2024, producido por Justin Raisen y nominado dos veces al Grammy, es un disco más directo y depurado que amplía su paleta sonora con beats más melódicos y un regreso a su sonido base de guitarras ruidosas. El segundo sencillo, “DIRTY TECH”, la encuentra llevando el rock alternativo hacia nuevos terrenos, con guitarras cargadas de feedback sobre beats de trap relajados, sostenidos por su voz característica.","Kim Gordon’s third album, PLAY ME, the follow up to 2024’s Justin Raisen produced and two time Grammy nominated The Collective, is a more distilled and immediate record that expands her sonic palette with more melodic beats and a return to her foundational sound of noisy guitars. The second single, “DIRTY TECH”, finds Gordon pushing alternative rock forward with feedback drenched guitars layered over laid back trap beats, anchored by her signature croon.","https://www.promojukebox.com/PEMDL48751872-MZ7JYRW8JT3DTLZ4-imeldahehir%40beggars.com,imelda.hehir.mat1",,,,
pend repítch,Med,Feb 11,FLEA,Thinkin Bout You' (Frank Ocean cover),Single,Alternative,May 27,,Nonesuch,,,USNO12500459,,,"Hoy, Flea comparte su versión de «Thinkin Bout You» de Frank Ocean, reinterpretando el clásico de Channel Orange como una balada instrumental y orquestal. Liderada por el bajo eléctrico y la trompeta de Flea, la canción cuenta con el contrabajo de Anna Butterss y los arreglos y la orquestación de Nate Walcott (Bright Eyes). Tras el lanzamiento de los singles «A Plea» y «Traffic Lights» (con Thom Yorke), «Thinkin Bout You» es el tercer adelanto de Honora, el álbum debut en solitario de Flea.","Today, Flea shares his take on Frank Ocean’s “Thinkin Bout You,” reinterpreting the Channel Orange classic as an instrumental and orchestral ballad. Led by Flea’s electric bass and trumpet, the song features upright bass from Anna Butterss and strings arranged and orchestrated by Nate Walcott (Bright Eyes). Following the release of singles “A Plea” and “Traffic Lights” (feat. Thom Yorke), “Thinkin Bout You” marks the third preview to be unveiled from Honora, Flea’s debut solo album",https://flea.lnk.to/TrafficLights,,,https://www.dropbox.com/scl/fo/z9rvkbwzu1j32cqayx438/AE0JRmGw8q2GkegtHD2P0aA?rlkey=5hwhinsadigsanvig8krnu3wv&st=mwrseh5v&dl=0,
,Low,Feb 11,Wet Leg,mangetout (The Dare remix),Single,Electronic,,,Domino,,spotify:track:1IkSG0zP2JfECRpgPcr9Uq,GBCEL2500796,1873338086,887829157166,"Con un estilo festivo que mezcla dance-punk, electroclash e indie rock, The Dare, colaborador de Charli xcx, presenta un remix de mangetout pensado para incendiar la pista. El track aparece en la serie viral de romance deportivo Heated Rivalry. La gira mundial Moisturizer llega este mes a Japón y Australia, incluyendo Laneway Festival, antes de un show principal para 14.000 personas en Alexandra Palace Park, Londres. Su audiencia es joven y mayoritariamente femenina, y mangetout es el single más exitoso del álbum.","Known for a party-driven style blending dance-punk, electroclash and indie rock, Charli xcx collaborator The Dare gives mangetout a remix primed for packed dance floors. The track appears in viral sports-romance series Heated Rivalry. Chart-topping moisturizer world tour hits JP and AUS this month, including Laneway Festival, before a 14,000-cap Alexandra Palace Park headline in London next summer. Social engagement skews young and female, with mangetout being the album's top-performing single.",https://delivery.dominomusic.com/03365f0ab8dc64c0b8,,,,
,Med,Feb 11,Los Retros,Secret Admirer,Single,Alternative,May 5th,,Stonesthrow,,,,,,,,https://on.soundcloud.com/WJdqO4OZvgijSaV2Gh,,,,
,High,Feb 13,Asgeir,Julia,Album,Indie,,Julia,,OLI Records,spotify:album:71VHBPBBSf8P93F4uoo3si,,1836376918,,"“Julia”, el eje emocional del álbum, parte de un inquietante poema islandés. Es una historia de fantasmas envuelta en una pedal steel espectral, donde una mujer con el corazón roto regresa de la muerte para reunirse con su antiguo amor, para siempre. La canción tiene una escala cinematográfica pero un tono íntimo, y difumina la frontera entre el mito y la memoria.","‘Julia’, the album’s emotional centrepiece, draws from a chilling Icelandic poem. A ghost story wrapped in eerie pedal steel, as a heartbroken woman returns from the dead to reunite with her former lover, forever. It is cinematic in scope but intimate in tone, blurring the line between myth and memory.",,,,,
,High,Feb 13,Danny L Harle,Cerulean,Album,Electronic,,Two Hearts (feat. Dua Lipa),XL Recordings,Beggars,spotify:album:1YbqV9ng7vfzgGbhjR2FfQ,GBBKS2500602,1847662970,191404158555,"Un viaje a vastos y alienígenas paisajes sonoros, el álbum debut de Danny L Harle, Cerulean, fusiona bajos que hacen vibrar los altavoces y eufóricos sintetizadores trance con armonías clásicas, un diseño de sonido táctil y sus propias grabaciones de campo de olas rompiendo contra la orilla. En su núcleo se encuentra “Two Hearts”, una luminosa colaboración con Dua Lipa que combina su inconfundible aplomo vocal con la producción cristalina de Harle. Un himno pop agridulce donde melodías elevadas se encuentran con sintetizadores cortados con láser y un profundo pulso romántico.","A voyage into vast, alien sonic landscapes, Danny L Harle’s debut album Cerulean fuses speaker-blowing bass and euphoric trance synths with classical harmonies, tactile sound design and his own field recordings of waves lapping against the shore. At its core is “Two Hearts”, a luminous collaboration with Dua Lipa that pairs her unmistakable vocal poise with Harle’s crystalline production. A bittersweet pop anthem where soaring melodies meet laser-cut synths and a deep romantic pulse. ","https://www.promojukebox.com/PEMDL42875297-KEQ52UXX8YWS46PX-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
,High,Feb 13,Dirty Heads,Seven Seas,Single,Alternative,,,Better Noise ,,"spotify:album:5kx1N8ll8DhnjXeXhL0f3J",USDPK2500243,1868461349,810202536005,"Dirty Heads se está preparando para un gran año, que incluirá su noveno álbum de estudio a finales de este año. Los rockeros reggae californianos arrancan con Seven Seas, una potente canción sobre no rendirse cuando las cosas se ponen difíciles. El grupo, certificado multiplatino por la RIAA, que se hizo viral en 2021 con el gran éxito Vacation, se ha asociado con la organización global de limpieza de océanos 4Ocean en torno a este lanzamiento y se embarcará en una gran gira por anfiteatros y estadios este verano, ¡que se anunciará próximamente!","Dirty Heads are gearing up for a huge year, including their ninth studio album later this year. The California reggae rockers kick off with Seven Seas, a powerful track about not giving up when times get tough. The RIAA certified multi-Platinum group, who went viral in 2021 with massive hit Vacation, are partnering with global ocean cleanup organization 4Ocean around this release and will be hitting the road on a massive amphitheater/arena tour this summer, soon to be announced!",https://www.dropbox.com/scl/fi/3hn6x3vevnld02dh6fw35/01.-Seven-Seas.wav?rlkey=vwcfw5yj2nr243dy6ykmf1ole&e=1&st=iz8fkizu&dl=0,,,,
,High,Feb 13,"War Child Records, Damon Albarn, Grian Chatten & Kae Tempest","Flags - Damon Albarn, Grian Chatten & Kae Tempest",Single,alternative,Mar 6,,Beggars,Beggars,spotify:track:0GkUyGCLewjgand5EEfCOO ,191400692039,1870313498,191400692039,"Flags es el momento definitivo de unión de 'HELP(2)'; Damon Albarn con Grian Chatten (Fontaines D.C.) y Kae Tempest exploran temas de infancia e identidad, un testamento desafiante para superar las dificultades a través de la fuerza interior y abrazar la unidad. Un estribillo de piano contagioso, así como un arreglo plagado de giros sorprendentes. Con el supergrupo: Johnny Marr, Dave Okumu y Adrian Utley de Portishead; el bajista de Gorillaz, Seye Adelekan; el baterista de Ezra Collective, Femi Koleoso; + un coro infantil de 43 piezas.","Flags is the definitive coming together moment of 'HELP(2)'; Damon Albarn with Grian Chatten (Fontaines D.C.) & Kae Tempest explore themes of childhood & identity, a defiant testament to overcoming hardship through inner strength & embracing unity.An infectious piano refrain as well as an arrangement rife with surprising twists.Feat super-group: Johnny Marr, Dave Okumu & Portishead's Adrian Utley; Gorillaz bassist Seye Adelekan; Ezra Collective drummer Femi Koleoso; + a 43-piece kid’s choir.",https://www.promojukebox.com/PEMDL62522382-MG788VLSBAFCJLPX-imeldahehir%40beggars.com%2Cimelda.hehir.xl12,,,,
,High,Feb 13,SYML feat. Carla Morrison,Where is my Love,Single,dance,,,,,,CAN112600117,,0067003217248,"Para celebrar el 10º aniversario de “Where’s My Love”, SYML presenta una emotiva reinterpretación bilingüe junto a la artista mexicana ganadora del Grammy, Carla Morrison. La canción incorpora un delicado diálogo en inglés y español, fusionando la intimidad minimalista de SYML con la voz profunda y conmovedora de Morrison. Una exploración atemporal del anhelo y la conexión que renueva un clásico global y trasciende idiomas y fronteras.","Celebrating the 10th anniversary of “Where’s My Love,” SYML returns with a powerful bilingual reimagining featuring Grammy Award–winning artist Carla Morrison. The new version deepens the song’s emotional core through a call-and-response in English and Spanish, blending SYML’s intimate minimalism with Morrison’s haunting, soul-stirring vocal presence. A timeless meditation on longing and connection, this collaboration transcends language and borders, offering a renewed experience of a global classic.",https://www.dropbox.com/scl/fi/jbalrlovie1zzm5ya9z8p/01-Where-s-My-Love-with-Carla.mp3?rlkey=imtpg61f4klj4nnbwg7lga5xc&st=yp45ai2c&dl=0,,,https://www.dropbox.com/scl/fo/rj7ybiinfc26lc42s01u8/AFP1mje7yCBFxl9BP7EUM30?rlkey=y3h0xe3k98iwlke1ddlv7xtju&st=7iczo3sq&dl=0,
,Med,Feb 13,GORDO,Loco Loco ft. Reinier Zonneveld ,Single,Electronic,,,,,spotify:track:1mZnxNzp17JrPyzDzkoiiC,,1872971960,5026854627687,"“Loco Loco” se lanza el 13 de febrero de 2026, una colaboración explosiva entre el peso pesado del tech-house GORDO y la leyenda del acid-techno Reinier Zonneveld. Ya está calentando la esfera viral y los mejores DJs la han incorporado a sus sets. Los grooves house de GORDO se encuentran con la fuerza cruda del techno de Zonneveld en un track irresistiblemente pegadizo y adictivo.","“Loco Loco” drops February 13, 2026 a killer collab between tech-house heavyweight GORDO and acid-techno legend Reinier Zonneveld. Already heating up the viral sphere, top DJs have added it to their sets. GORDO’s house grooves meet Zonneveld’s raw techno drive in a track that is irresistibly catchy and addictive. A big marketing push will accompany the release.",,,,,
,Med,Feb 13,Converge,Love Is Not Enough,Album,"Alternative, Metal",Feb 13,Bad Faith,Epitaph,,spotify:album:1ZiHuZUECf9saUhmv8vYxm,USEP42542002,1848413294,0045778813568,"Converge regresa con «Bad Faith», un suspiro crudo y desgarrador de impotencia: ver sufrir a un ser querido sin poder hacer nada para ayudarlo. Las letras de Jacob Bannon inquietan por su contención, capturando el dolor de ser testigo cuando la intención en sí misma es corrupta. Tras décadas de actividad, su undécimo álbum, Love Is Not Enough, canaliza toda una vida de punk, hardcore y metal en algo que resulta a la vez devastador y trascendente: un ápice de furia y sentimiento que define su carrera.","Converge return with “Bad Faith,” a raw, wrenching exhale of helplessness—watching a loved one suffer, powerless to help. Jacob Bannon’s lyrics haunt in their restraint, capturing the ache of bearing witness when intention itself is rotten. Decades in, their eleventh album, Love Is Not Enough, channels a lifetime of punk, hardcore, and metal into something that feels both devastating and transcendent—a career-defining apex of fury and feeling.",,,,,
,Med,Feb 13,Azzecca,Dreams,Single,Deep House,,,Cosimea Sounds,,,CBEFB2600194,,717623741462,"Azzecca presenta “dreams”, su primer lanzamiento de 2026 y una declaración clara de una nueva etapa creativa. La artista define este año como un momento de honestidad total consigo misma, explorando la música sin límites ni expectativas. El track nace de un periodo especialmente fértil en el estudio y destaca por su carácter femenino, audaz y profundamente soulful, recuperando emociones y texturas que Azzecca sentía ausentes en la música de club reciente.

Con una base rítmica sólida y sonidos envolventes, “Dreams” se ha convertido rápidamente en un punto clave dentro de sus sets, recibiendo apoyo temprano de figuras como Salute, DJ Seinfeld e Interplanetary Criminal. El lanzamiento llega acompañado de un calendario potente de shows y novedades, incluyendo su participación junto a Dom Dolla en su fiesta del Super Bowl en San José y su presencia en Coachella.","Azzecca presents “Dreams”, her first release of 2026 and a clear statement of a new creative chapter. She describes this year as a moment of complete honesty with herself, exploring music without boundaries or expectations. The track emerged from an especially fruitful period in the studio and stands out for its feminine, bold, and deeply soulful character, reconnecting with emotions and textures Azzecca had been missing in recent club music.

Built on a solid rhythmic foundation and immersive sound design, “Dreams” has quickly become a standout moment in her DJ sets, earning early support from Salute, DJ Seinfeld, and Interplanetary Criminal. The release arrives alongside a strong run of shows and announcements, including appearances alongside Dom Dolla at his Super Bowl party in San Jose and a performance at Coachella.",https://circa.disco.ac/playlist-new/27463182?date=20260209&user_id=913983&signature=t8I3V25E7qW9hP_85fMs4B10fEM%3AztHF9mVx,,,,
Mention mx,Low,Feb 13,Cocteau Twins,Lullabies To Violane (Volume One) - 20th Anniversary,Album,Alternative,,,4AD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,Feb 16,War Child Records & The Last Dinner Party,Let's do it again!,Single,Indie/Alternative,,,War Child Records,Beggars,,,1870313498,,"Tras el reciente lanzamiento de su exitoso álbum From the Pyre, The Last Dinner Party presenta ""¡Hagámoslo de nuevo!"" para HELP(2), grabado en Angel Studios y producido por James Ford. Es una canción pop perfecta que, de alguna manera, posee múltiples movimientos musicales, metales estridentes, arpa cautivadora y ese vigor y fuerza teatral característicos que The Last Dinner Party han poseído desde su llegada hace apenas cinco años. Gira principal por Europa en febrero/marzo.","Off the back of their recent chart topping album From the Pyre, The Last Dinner Party presents “Let’s do it again!” for HELP(2) which was recorded at Angel Studios and produced by James Ford. It’s a perfect pop song that somehow possesses multiple musical movements, blaring brass, entrancing harp and that already-signature theatrical vigour and force that The Last Dinner Party have uniquely possessed since they arrived just five years ago.Headline EU tour Feb/Mar.",https://www.promojukebox.com/PEMDL40544723-SQBTBS73WX8ABRBD-applegrid%40apple.com%2Cmarissa.esposito.xl12,,,,
,High,Feb 17,Thundercat,She Knows Too Much (feat. Mac Miller),Single,r&b ,,,Brainfeeder,NInja Tune,spotify:artist:4frXpPxQQZwbCu3eTGnZEw],GBCFB2500644,1861531670,5054429210392,"Thundercat presenta “She Knows Too Much (feat. Mac Miller)”, uno de los momentos más emotivos de su quinto álbum Distracted. Elegido como Hottest Record en BBC Radio 1, el track reúne a dos amigos en su esencia: el flow despreocupado de Mac y el bajo distintivo de Thundercat. Finalizado junto a Greg Kurstin y con la aprobación del Mac Miller Estate, es un lanzamiento nostálgico y especial acompañado de un potente video animado dirigido por Léa Esmaili.","Thundercat returns with “She Knows Too Much (feat. Mac Miller),” a bittersweet standout from his fifth studio album Distracted. Chosen as BBC Radio 1’s Hottest Record, the track reunites two close friends in their element, blending Mac’s effortless flow with Thundercat’s signature bass and falsetto. Completed with Greg Kurstin and released with the blessing of the Mac Miller Estate, it’s a heartfelt, nostalgic moment elevated by a striking animated video directed by Léa Esmaili.",https://www.promojukebox.com/acdl44895678-a0aa96a75050e9e5af154bb88cc1036c,,,,
,High,Feb 17,My New Band Believe,Numerology,Single,"indie, alternativa",,,Rough Trade,Beggars,spotify:album:4ImkOlXMswzRT69SPcFhD0,GBCVZ2500354,1866888731,191402060744,"MNBB, el proyecto liderado por Cameron Picton, miembro fundador de black midi, lanzará su álbum debut en abril y su nuevo single “Numerology” presenta un sonido más amplio y bailable, con influencias de la música dance, a diferencia de su primer track “L25”. La canción retrata una noche intensa y memorable, y este verano MNBB girará por Reino Unido, Europa y Estados Unidos, con presentaciones confirmadas en Rewire Festival, Green Man, Bristol New Music y Earth.","MNBB, led by Cameron Picton, founding member of black midi, release their debut album in April. New single ‘Numerology’ introduces a more expansive, dance music influenced, sound than debut track ‘L25’. Included are a horn section, a remix of itself as the solo, and layer upon layer of vocal harmony. Numerology details a tunnel-vision, one for the ages night out. MNBB will tour this summer across UK, EUROPE and US with Rewire Festival, Green Man, Bristol New Music and Earth headline confirmed.",https://www.promojukebox.com/PEMDL96433055-SEDNP827TN4A7H9Y-imeldahehir%40beggars.com%2Cimelda.hehir.rough,,,,
,Med,Feb 17,1000 Rabbits,Virgin Soil,Single,Indie/Alternative,,,Young,Beggars,spotify:album:5I7mZdoalfmV0j3xeKvtix,UK7MC2600002,1869639680,889030048455,"Tras demostrar su gran capacidad interpretativa con actuaciones como cabezas de cartel en The Great Escape, Left of the Dial y The Line Of Best Fit, 1000 Rabbits emprenden su viaje musical con «Virgin Soil». Este enigmático disco explora la complejidad de los sentimientos humanos, contextualizado por temas de asombro, misterio, exploración y euforia. Eufemismos vocales se deslizan con elegancia entre líneas de bajo hipnóticas, melodías acústicas precisas y enfáticos segmentos de batería y violín.","Having already proved themselves as performance juggernauts with appearances at The Great Escape, Left of the Dial and The Line Of Best Fit headliners, 1000 Rabbits embark on their musical journey with ‘Virgin Soil’. This enigmatic record explores the complexity of human feeling, contextualised by themes of wonder, mystery, exploration, and euphoria. Vocal euphemisms elegantly glide across hypnotic basslines, tight acoustic melodies and emphatic drum and violin segments.",https://www.promojukebox.com/PEMDL51368185-5T8NX36QTH2KX6HR-imeldahehir%40beggars.com%2Cimelda.hehir.xl12,,,,
,Med,Feb 17,Ellie O'Neill,Half Immune,Single,Indie/Alternative,,,St. Itch,Beggars,spotify:album:06DJ0AXtRznILSBuqr55Ym,GBAFL2500652,1872013853,191400899643,"La artista folk irlandesa Ellie O'Neill anuncia su debut, Time of Fallow (previsto para el 20/3), con ""Half Immune"", una evocadora representación de latigazos emocionales mediante armonías complejas y acordes de piano trepidantes; la música perdura mucho después del final. ""Esquivo e hipnótico [...] Una increíble nueva voz en el folk"", The Line of Best Fit. Abrió el concierto de Dove Ellis, ""Best Of '25"", en Londres con entradas agotadas (""Indie Irish enigma"", Guardian) y Adrianne Lenker. Apoyo a LP de P4k, Wonderland, Clash, DIY y Uncut; estreno de Huw Stephens en 6Music y fandom de Matt Wilkinson.","Irish folk artist Ellie O’Neill announces debut Time of Fallow (due 3/20) w/ “Half Immune” — a haunting portrayal of emotional whiplash via stacked harmony & trepid piano chords; lingers long after it ends. “Elusive and hypnotic […] An incredible new voice in folk”, The Line of Best Fit. Opened for Best Of ‘25 Dove Ellis at sold-out London show (“Indie Irish enigma”, Guardian) & Adrianne Lenker. P4k, Wonderland, Clash, DIY, Uncut LP support; Huw Stephens 6Music premiere & Matt Wilkinson fandom",https://www.promojukebox.com/PEMDL94179781-K4Y2VZWXAEPP57DL-imeldahehir%40beggars.com%2Cimelda.hehir.4ad1.2,,,,
,Med,Feb 17,Death Lens,Drown,Single,"Rock, Alternative, Punk",,,Epitaph,,spotify:track:4VK1XLUUai2bFeXwZ6qIhE,USEP42541005,1860695364,0045778816057,"Los punks de Los Ángeles, Death Lens, regresan con fuerza en «Drown», un nuevo y discordante sencillo de su próximo álbum What's Left Now? que saldrá a la venta el 24 de abril. La canción fusiona la nerviosidad del indie rock, la fuerza del hardcore, el ritmo del punk old school y la tensión del post-punk en el característico estilo entrópico de la banda. Con el productor Zach Tuch (Knocked Loose, Touché Amoré) a los mandos, «Drown» captura a Death Lens en su versión más contundente y rebelde, con una energía explosiva agudizada por matices dinámicos y una evolución ganada a pulso.","LA punks Death Lens return swinging with “Drown,” a jagged new single from their upcoming album What’s Left Now? out April 24. The track fuses indie rock nerviness, hardcore heft, old-school punk snap, and post-punk tension into the band’s serrated signature. With producer Zach Tuch (Knocked Loose, Touché Amoré) behind the boards, “Drown” captures Death Lens at their chunkiest and most riotous—livewire energy sharpened by dynamic nuance and hard-earned evolution.",https://jumpshare.com/share/IrwNXZDv13ZjMX134pBi?b=LtMlpxS6cSHz4vFJWjfb,,,,
,High,Feb 18,Snail Mail,My Maker,Single,indie rock,,,Matador,Beggars,spotify:album:47wcmMq8SaCVM5R7wOW8e4,USMTD2500294,1862845748,191401222778,"“My Maker”, el segundo single del esperado tercer álbum de Snail Mail, Ricochet, fue coproducido por la propia artista Lindsey Jordan junto a Aron Kobayashi Ritch de Momma. El video musical, grabado en una sola toma dentro de un globo aerostático, refleja letras que hablan de volar al cielo, beber en el bar del aeropuerto y reflexionar sobre la vida y la muerte, con un sonido que combina un mellotron etéreo sobre una base acústica rítmica y coros luminosos que contrastan con los temas más oscuros, mientras Snail Mail se prepara para una extensa gira por Norteamérica y una próxima fecha en Reino Unido, además de prensa confirmada en Pitchfork, Rolling Stone, The New York Times, entre otros.","-“My Maker,” the 2nd single from Snail Mail’s anticipated 3rd, Ricochet, was co-produced by the artist, Lindsey Jordan w/ Aron Kobayashi Ritch fr Momma. The 1-take hot air balloon music video echoes the lyrics about flying a plane to heaven, drinking at the airport bar, & contemplating life/death. A spaced-out mellotron swirls atop an acoustic up&down rhythmic strum, life-affirming ‘yea yeas’ belted belying the dark themes. Lengthy NA tour & UK show soon + confirmed press P4k, RS, NYT, etc.  ",https://www.promojukebox.com/PEMDL53981254-ABH5LLBLFFCDZDH4-imeldahehir%40beggars.com%2Cimelda.hehir.mat1,,,,
,Med,Feb 18,15 15,Infinite Beach,Single,Indie / Alternative,,,S76,Beggars,spotify:album:15H3tSTUGmje1IOkoAQGuX,GBBKS2500634,1858554036,191404654859,"Infinite Beach es la última propuesta del colectivo multidisciplinario 15 15 y su paradisíaca isla conceptual. La canción marca el final del día, el atardecer que se posa sobre la costa de la ficticia Mārara, de la que toma nombre y de la que nació su álbum debut. Combinando influencias polinesias, sudamericanas y caribeñas (candombe, calipso) con una producción electrónica futurista, el grupo crea un universo singular y atemporal.","Infinite Beach is the latest offering from multidisciplinary collective 15 15 and their conceptual island paradise. The track marks the remains of the day, sunset hitting the coastline of the fictional Mārara from which their debut album is named and conceived. Bringing together Polynesian, South American and Caribbean influences (candombe, calypso), and futuristic electronic production, the group create a singular, timeless universe.",,,,,
,Med,Feb 18,Austra,Math Equation (Ineffekt's Quell Mix),Single,"electronic, Pop",,,Domino,,spotify:track:1qPLobUnZR4WmMYhPdatuc,GBCEL2500664,1870990852,887829153595,"Austra no había vivido una ruptura real hasta comienzos de 2020, cuando su pareja de muchos años le soltó una verdad devastadora. “La persona que amaba despertó un día, me dijo que no era feliz y nunca la volví a ver”. Ese dolor se transformó en fragmentos poéticos volcados en un Google Doc catártico: “Dijiste que necesitaba mis propios amigos / Así que los encontré / Y luego te los cogiste”. Hay aquí un caos sáfico inconfundible, y “Math Equation” funciona tanto como un clapback pegajoso como una súplica agridulce por reconectar.
En vivo: gira como headliner por Norteamérica en enero, incluyendo Baby’s All Right en NYC.","Austra had not fully experienced heartbreak until early 2020 when her long-time partner dropped a bombshell. ""The person I loved woke up one day, told me she wasn’t happy, and I never saw her again.”  She unleashed her pain into poetic fragments in a cathartic Google doc - “You said I needed my own friends / So I found them / Then you fucked them.” There is an unmistakable type of sapphic chaos found here, and “Math Equation” is equal parts catchy clapback and bittersweet plea for reconnection. Live: NA Headline tour in January including Baby’s All Right in NYC",https://delivery.dominomusic.com/9d3481c52d31e24116,,,,
,High,Feb 19,War Child Records & Pulp,Begging for Change,Single,Indie / Alternative,,,War Child Records,Beggars,spotify:track:0HeZeCEzrXPXdaTD9JDA4a,GBAZP2500250,1870313498,191400692237,"""Begging For Change"" es Pulp en su máxima expresión. Jarvis solicitó al mismo coro infantil que participó en ""Flags"" que añadiera gritos a este himno de garage rock primigenio. La aparición de Pulp en HELP(2) marca un punto de inflexión. El álbum seminal de Pulp, ""Different Class"", y el HELP original compitieron por el Premio Mercury de 1996, y Jarvis decidió otorgarle a War Child el premio y las 25.000 libras durante el discurso de aceptación de su banda. Gira principal por Australia y Nueva Zelanda en febrero/marzo.","‘Begging For Change’ is Pulp at their most ferocious. Jarvis requested the same kids’ choir that featured on ‘Flags’ to add screams to this primal garage rock anthem. Pulp’s appearance on HELP(2) marks a full circle moment. Pulp’s seminal album ‘Different Class’ & the original HELP were up against each other for the 1996 Mercury Prize, with Jarvis deciding to award War Child the prize & the £25,000 prize money during his band’s acceptance speech.Headline AUS/NZ tour Feb/Mar. ",https://www.promojukebox.com/PEMDL59036341-GYE4VEJMKM6ZLAA5-imeldahehir%40beggars.com%2Cimelda.hehir.xl12,,,,
,Med,Feb 19,Hen Ogledd,End of the rhythm,Single,Alternative,,,Domino,,spotify:track:2iLF2yjIkz8NXZX9FcQheR,GBCEL2500487,1848325747,887833018293,"Hen Ogledd —el cuarteto formado por Dawn Bothwell, Rhodri Davies, Richard Dawson y Sally Pilkington— regresa en febrero de 2026 con su tercer álbum, DISCOMBOBULATED: un viaje brillante y sin etiquetas a través del estado de la nación. Grabado junto a Sam Grant en Blank Studios, el disco fusiona la protesta impulsada por metales de Scales Will Fall, la psicodelia en galés de Dead in a Post-Truth World y el asombro festivo de Clara. En el centro, la pieza de 20 minutos Clear Pools brilla con una esperanza delicada.","Hen Ogledd, the quartet of Dawn Bothwell, Rhodri Davies, Richard Dawson and Sally Pilkington, return with their third album in February 2026 DISCOMBOBULATED, a brilliant, genre-blurring journey through the state of the nation. Recorded with Sam Grant at Blank Studios, it fuses brass-driven protest ‘Scales Will Fall’, Welsh-language psychedelia ‘Dead in a Post-Truth World’, and festive wonder ‘Clara’. The 20-minute centrepiece ‘Clear Pools’ shimmers with delicate hope. ",https://delivery.dominomusic.com/6f060efb50b0f7b0d5,,,,
